,CA,TX,MT,OH,KS
2016-09-06,2167.0,500.0,280.0,464.0,641.0
2016-09-07,1695.0,561.0,343.0,454.0,607.0
2016-09-03,4065.0,818.0,362.0,497.0,916.0
2016-09-04,2103.0,468.0,325.0,431.0,696.0
2016-09-02,3259.0,811.0,424.0,503.0,1083.0
2016-09-01,2226.0,620.0,364.0,447.0,883.0
2016-09-14,1618.0,510.0,328.0,418.0,636.0
2016-09-15,2149.0,586.0,338.0,463.0,751.0
2016-09-13,1704.0,477.0,306.0,384.0,560.0
2016-09-12,1722.0,503.0,299.0,414.0,660.0
2016-09-11,2472.0,552.0,374.0,405.0,749.0
2016-09-10,2232.0,557.0,334.0,517.0,792.0
2016-09-08,1833.0,563.0,357.0,438.0,653.0
2016-09-09,2353.0,583.0,357.0,482.0,769.0
2016-11-30,1481.0,647.0,250.0,443.0,399.0
2016-11-29,1601.0,574.0,198.0,409.0,397.0
2016-11-28,3257.0,719.0,206.0,396.0,697.0
2016-11-26,4979.0,1013.0,323.0,565.0,1101.0
2016-11-27,5726.0,1617.0,438.0,451.0,1644.0
2016-11-24,4965.0,641.0,213.0,566.0,448.0
2016-11-25,3341.0,782.0,231.0,465.0,630.0
2016-11-23,4480.0,1273.0,419.0,478.0,1252.0
2016-11-22,3695.0,907.0,278.0,461.0,777.0
2016-11-21,2928.0,747.0,242.0,424.0,719.0
2016-11-20,3459.0,924.0,249.0,346.0,793.0
2016-11-18,2622.0,785.0,305.0,508.0,680.0
2016-11-19,3579.0,974.0,242.0,457.0,850.0
2016-11-16,1550.0,599.0,257.0,425.0,467.0
2016-11-17,1895.0,583.0,299.0,487.0,544.0
2016-11-11,3139.0,751.0,298.0,532.0,645.0
2016-11-12,1933.0,567.0,242.0,492.0,496.0
2016-11-10,2078.0,610.0,306.0,498.0,474.0
2016-11-09,1572.0,602.0,236.0,397.0,415.0
2016-11-13,2921.0,726.0,300.0,399.0,586.0
2016-11-15,1450.0,559.0,224.0,403.0,462.0
2016-11-14,1980.0,587.0,233.0,430.0,521.0
2016-11-05,2067.0,505.0,263.0,560.0,498.0
2016-11-06,2588.0,671.0,253.0,397.0,552.0
2016-11-08,1502.0,575.0,245.0,480.0,428.0
2016-11-07,2042.0,647.0,216.0,416.0,465.0
2016-11-04,2322.0,738.0,279.0,492.0,575.0
2016-11-03,1748.0,588.0,,386.0,532.0
2016-11-02,1629.0,592.0,,416.0,493.0
2016-11-01,1689.0,552.0,247.0,447.0,502.0
2016-12-07,1449.0,589.0,202.0,425.0,310.0
2016-12-08,1589.0,607.0,221.0,396.0,396.0
2016-12-06,1449.0,574.0,149.0,410.0,349.0
2016-12-05,1690.0,525.0,184.0,401.0,434.0
2016-12-03,2019.0,562.0,213.0,588.0,475.0
2016-12-04,2043.0,639.0,221.0,382.0,495.0
2016-12-02,2112.0,652.0,225.0,419.0,493.0
2016-12-15,1829.0,673.0,217.0,380.0,476.0
2016-12-16,2545.0,767.0,165.0,422.0,657.0
2016-12-14,1582.0,634.0,245.0,400.0,409.0
2016-12-13,1439.0,506.0,132.0,405.0,392.0
2016-12-10,1905.0,634.0,177.0,537.0,452.0
2016-12-12,1730.0,585.0,66.0,401.0,397.0
2016-12-11,2074.0,699.0,64.0,316.0,427.0
2016-12-09,2151.0,660.0,201.0,458.0,460.0
2016-12-18,2850.0,1000.0,223.0,325.0,677.0
2016-12-19,2421.0,776.0,172.0,462.0,620.0
2016-12-17,3226.0,992.0,193.0,305.0,450.0
2016-12-21,2887.0,935.0,262.0,459.0,805.0
2016-12-20,2255.0,780.0,220.0,502.0,676.0
2016-12-22,4032.0,1137.0,353.0,477.0,1124.0
2016-12-23,4811.0,1251.0,338.0,573.0,1725.0
2016-12-31,3406.0,877.0,246.0,426.0,850.0
2016-12-30,4376.0,1066.0,291.0,477.0,946.0
2016-12-28,3927.0,1010.0,305.0,426.0,868.0
2016-12-29,3436.0,1006.0,266.0,446.0,896.0
2016-12-24,3043.0,682.0,183.0,447.0,566.0
2016-12-25,2728.0,401.0,97.0,397.0,275.0
2016-12-26,3926.0,1233.0,96.0,445.0,1140.0
2016-12-27,3526.0,1055.0,352.0,441.0,1014.0
2017-01-05,2127.0,646.0,,325.0,284.0
2017-01-06,2600.0,713.0,228.0,392.0,510.0
2017-01-07,2599.0,712.0,206.0,440.0,581.0
2017-01-01,3010.0,710.0,256.0,290.0,785.0
2017-01-02,4552.0,1249.0,194.0,391.0,1138.0
2017-01-03,2575.0,769.0,196.0,374.0,612.0
2017-01-04,2110.0,680.0,,385.0,521.0
2017-01-14,2557.0,712.0,,434.0,360.0
2017-01-13,2359.0,711.0,,405.0,545.0
2017-01-12,1610.0,605.0,187.0,396.0,462.0
2017-01-15,2043.0,614.0,,343.0,226.0
2017-01-11,1402.0,559.0,184.0,405.0,420.0
2017-01-08,2633.0,710.0,230.0,301.0,564.0
2017-01-09,1755.0,566.0,183.0,403.0,438.0
2017-01-10,1354.0,535.0,196.0,317.0,413.0
2017-01-26,1620.0,615.0,230.0,330.0,371.0
2017-01-27,2207.0,653.0,233.0,408.0,435.0
2017-01-24,1417.0,542.0,,344.0,315.0
2017-01-25,1439.0,576.0,,412.0,372.0
2017-01-29,2125.0,598.0,254.0,330.0,462.0
2017-01-28,1905.0,598.0,184.0,492.0,449.0
2017-01-31,1456.0,557.0,189.0,367.0,344.0
2017-01-30,1710.0,576.0,200.0,397.0,382.0
2017-01-21,1800.0,572.0,226.0,544.0,473.0
2017-01-23,1485.0,515.0,190.0,391.0,386.0
2017-01-22,1937.0,593.0,196.0,454.0,419.0
2017-01-19,1546.0,558.0,190.0,378.0,410.0
2017-01-20,1893.0,567.0,214.0,414.0,459.0
2017-01-18,1463.0,549.0,206.0,327.0,385.0
2017-01-17,1552.0,641.0,201.0,373.0,503.0
